data_copa,time_a,time_b,placar,gols_do_time_da_casa,gols_do_time_da_fora,saldo_gols_do_time_da_casa,saldo_gols_do_time_da_fora,teve_prorrogacao,foi_para_penaltis,placar_penaltis,gols_do_time_da_casa_penaltis,gols_do_time_da_fora_penaltis,time_da_casa_vencedor,time_da_fora_vencedor,empatou,sede,vencedor_copa,sede_vencedor,qtd_times_parcticipantes
1950,Uruguay,Sweden,3Ð2,3,2,1,-1,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Sweden,Spain,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Uruguay,Brazil,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1954,Brazil,Mexico,5Ð0,5,0,5,-5,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Yugoslavia,France,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Austria,Scotland,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Uruguay,Czechoslovakia,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Switzerland,Italy,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Hungary,South Korea,9Ð0,9,0,9,-9,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,West Germany,Turkey,4Ð1,4,1,3,-3,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,England,Belgium,4Ð4,4,4,0,0,1,0,0-0,0,0,0,0,1,Switzerland,West Germany,0,16
1954,Uruguay,Scotland,7Ð0,7,0,7,-7,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Brazil,Yugoslavia,1Ð1,1,1,0,0,1,0,0-0,0,0,0,0,1,Switzerland,West Germany,0,16
1954,Austria,Czechoslovakia,5Ð0,5,0,5,-5,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,France,Mexico,3Ð2,3,2,1,-1,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Hungary,West Germany,8Ð3,8,3,5,-5,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Turkey,South Korea,7Ð0,7,0,7,-7,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Italy,Belgium,4Ð1,4,1,3,-3,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,England,Switzerland,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,West Germany,Turkey,7Ð2,7,2,5,-5,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Switzerland,Italy,4Ð1,4,1,3,-3,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Austria,Switzerland,7Ð5,7,5,2,-2,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Uruguay,England,4Ð2,4,2,2,-2,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Hungary,Brazil,4Ð2,4,2,2,-2,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,West Germany,Yugoslavia,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Hungary,Uruguay,4Ð2,4,2,2,-2,1,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,West Germany,Austria,6Ð1,6,1,5,-5,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,Austria,Uruguay,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1954,West Germany,Hungary,3Ð2,3,2,1,-1,0,0,0-0,0,0,1,0,0,Switzerland,West Germany,0,16
1958,Sweden,Mexico,3Ð0,3,0,3,-3,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Argentina,West Germany,1Ð3,1,3,-2,2,0,0,0-0,0,0,0,1,0,Sweden,Brazil,0,16
1958,Northern Ireland,Czechoslovakia,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,France,Paraguay,7Ð3,7,3,4,-4,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Yugoslavia,Scotland,1Ð1,1,1,0,0,0,0,0-0,0,0,0,0,1,Sweden,Brazil,0,16
1958,Hungary,Wales,1Ð1,1,1,0,0,0,0,0-0,0,0,0,0,1,Sweden,Brazil,0,16
1958,Brazil,Austria,3Ð0,3,0,3,-3,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,Soviet Union,England,2Ð2,2,2,0,0,0,0,0-0,0,0,0,0,1,Sweden,Brazil,0,16
1958,Argentina,Northern Ireland,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Sweden,Brazil,0,16
1958,West Germany,Czechoslovakia,2Ð2,2,2,0,0,0,0,0-0,0,0,0,0,1,Sweden,Brazil,0,16
